date,perlis,kedah,pulau-pinang,perak,selangor,negeri-sembilan,melaka,johor,pahang,terengganu,kelantan,sabah,sarawak,wp-kuala-lumpur,wp-putrajaya,wp-labuan
13/3/2020,1,5,7,2,87,11,1,20,2,0,3,15,0,40,1,2
14/3/2020,2,5,7,2,92,19,6,22,2,0,3,26,6,43,1,2
15/3/2020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
16/3/2020,8,31,15,18,144,42,14,52,19,4,18,57,21,106,-,4
17/3/2020,8,31,23,23,161,45,17,77,28,7,25,82,29,113,-,4
18/3/2020,8,36,30,28,192,45,18,88,29,10,30,103,49,119,-,5
19/3/2020,9,40,32,35,223,56,20,101,32,11,44,112,51,123,6,5
20/3/2020,9,41,37,45,263,65,22,114,36,20,51,119,58,139,6,5
21/3/2020,9,47,50,55,292,70,22,129,37,27,61,136,68,166,9,5
22/3/2020,9,52,58,66,309,78,23,145,40,32,63,158,76,183,9,5
23/3/2020,9,59,66,81,354,94,25,158,56,38,71,169,78,242,13,5
24/3/2020,9,64,68,98,381,109,31,162,56,38,78,170,83,257,15,5
25/3/2020,,,,,,,,,,,,,,,,
